WP-JAHRE,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP-JAHRE,ANFANG,ALTER
1949-1953,11000452,1,DP,1902,"Bäckermeister, Bürgermeister",Deutschland,Eickhoff,Rudolf,"['1', '2']","['Direktwahl', 'Direktwahl']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,47
1949-1953,11000460,1,SPD,1903,"kaufm.Angestellter, Gewerkschaftssekretär",Deutschland,Ekstrand,Hans,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,46
1949-1953,11000482,1,CDU,1908,Dipl.-Kaufmann,Deutschland,Eplée,Hermann A.,"['1', '3']","['Landesliste', 'Landesliste']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,41
1949-1953,11000486,1,CDU,1897,"Professor, Bundesminister a. D., Bundeskanzler a. D.",Deutschland,Erhard,Ludwig,"['1', '2', '3', '4', '5', '6', '7', '8']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Landesliste', 'Landesliste']",0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,52
1949-1953,11000488,1,SPD,1913,Landrat a. D.,Deutschland,Erler,Fritz,"['1', '2', '3', '4', '5']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,36
1949-1953,11000497,1,CDU,1902,Rechtsanwalt und Notar,Deutschland,Etzel,Franz,"['1', '3', '4']","['Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,47
1949-1953,11000498,1,FU,1882,Rechtsanwalt und Notar,Deutschland,Etzel,Hermann,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,67
1949-1953,11000499,1,CDU,1889,"Bürgermeister i. R., Landrat",Deutschland,Etzenbach,Peter,"['1', '2', '3']","['Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,60
1949-1953,11000500,1,DP,1908,Rechtsanwalt und Notar,Deutschland,Euler,August-Martin,"['1', '2', '3']","['Direktwahl', 'Direktwahl', 'Landesliste']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,41
1949-1953,11000502,1,CDU,1903,Geschäftsführer und Verbandsvorsitzender der Katholischen Arbeiterbewegung,Deutschland,Even,Johannes,"['1', '2', '3', '4']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,46
1949-1953,11000505,1,DP,1887,Rechtsanwalt und Notar,Deutschland,Ewers,Hans,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,62
